date,location,NO2,SO2,CO,O3,CH4,HCHO,AER_AI,AER_LH,CLOUD
2025-04-01,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng,6.481399095066349e-05,2.8559018803249863e-05,0.06997517806056051,0.12403083065065278,,0.0003213424516898381,-0.42813883019817756,1121.760400738907,0.11434512243647375
2025-04-01,Hà Nội: 556 Nguyễn Văn Cừ,6.853168603062037e-05,1.5857967475046962e-05,0.06866943794633878,0.12387253457467175,,0.00034574707594631015,-0.42430400028958615,946.9293004155617,0.09750882215026808
2025-04-01,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến,5.8988912191844844e-05,3.3929477241915766e-05,0.07123449015219505,0.12397378440357569,,0.00030536051489930897,-0.41862428254556894,1249.6177321522835,0.1341080386809323
2025-04-01,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng,0.00013319757332064895,-2.6225337898780425e-05,0.030556033804770608,0.11152338692889086,,0.0003758904545816847,-0.8762638582843849,,0.7824194038434142
2025-04-01,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang),8.460392126372284e-05,,0.028791848169443107,0.11215723708425653,,0.00044396541452694163,-0.7125318189722809,,0.9269241372350865
2025-04-01,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng,,,0.043202906388437275,0.1207838481713569,,,-0.9953230988340188,,0.9280507339598341
2025-04-01,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên,4.051941702087405e-05,6.779078863048866e-05,0.06790847061989545,0.12357100798783324,,0.00023033711881906204,-0.11652837164354474,1514.3580377159947,0.5481700742366566
2025-04-01,Phú Thọ: đường Hùng Vương - Tp Việt Trì,4.2776377088682306e-05,2.1500402644687703e-05,0.07038751536167352,0.12316163881756355,,0.00025844914738932417,-0.4927601297254308,,0.2862107920241556
2025-04-01,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang,4.097025798365962e-05,5.322451149424343e-06,0.06619662544764793,0.12379543902256464,,0.000277083333984674,-0.3290167528405604,1196.1460983206855,0.23934717414949233
2025-04-01,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý,8.042432825173957e-05,1.8043662128979534e-05,0.07078337394079436,0.12370488553012465,,0.00029290014466751356,-0.28307941365108336,855.9741459809868,0.2290478878427239
